Gene_symbol	Ensembl_ID	dataset	model	aic	r2	coef_a	coef_b	coef_c	n_points
KDM4B	ENSG00000127663	GSE162694	power_law	-33.8192249025964	0.69793646210444	-0.000434058327824803	3.20663279489287	NA	4
KDM4C	ENSG00000107077	GSE130970	linear	-41.0990884768797	0.53971738557074	0.00428724662003827	-0.00268693173849639	NA	4
KDM4C	ENSG00000107077	GSE135251	sigmoid	-48.2171447733077	0.994359024694729	0.164435744728482	0.923211287657504	5.48058426264983	4
KDM4C	ENSG00000107077	GSE162694	power_law	-35.8927528993855	0.89994806256135	-2.45232379609867e-05	5.25497170780653	NA	4
KDM4D	ENSG00000186280	GSE130970	linear	-30.3438257527195	0.499196861066158	-0.0266203895890411	0.00950291890893554	NA	4
KDM4D	ENSG00000186280	GSE135251	power_law	-25.5233194480966	0.623907219122737	-2.57534019043374e-05	5.88914824082396	NA	4
KDM4D	ENSG00000186280	GSE162694	power_law	-18.5418942059717	0.190574473199146	0.0931804190856043	-0.909324672094963	NA	4
KLF2	ENSG00000127528	GSE130970	power_law	-19.3876869698218	0.306248557977068	0.0225439340432975	1.05281020910735	NA	4
KLF2	ENSG00000127528	GSE135251	power_law	-35.3522541652376	0.932263296930495	4.01256965305422e-05	5.21973881666948	NA	4
KLF2	ENSG00000127528	GSE162694	power_law	-26.2539107821354	0.981978995325317	6.68697033795507e-09	12.6850380934009	NA	4
LBR	ENSG00000143815	GSE130970	linear	-35.9394869788122	0.575318725524153	-0.00397019155545284	0.00550435861930988	NA	4
LBR	ENSG00000143815	GSE135251	power_law	-31.7594396851728	0.0634158468414457	0.0138851441982572	-0.511099143228043	NA	4
LBR	ENSG00000143815	GSE162694	linear	-27.5175786741351	0.629655340712697	-0.0324342963803824	0.0176697727057585	NA	4
LEMD2	ENSG00000161904	GSE130970	linear	-39.7061218201706	0.601073305724626	0.00778303347622082	-0.00362512179954632	NA	4
LEMD2	ENSG00000161904	GSE135251	linear	-39.7326296371667	0.860976896708948	-0.0144839224595633	0.00732518616168448	NA	4
LEMD2	ENSG00000161904	GSE162694	linear	-41.8864978938045	0.658521010692506	-0.00671298790288182	0.00312278866089527	NA	4
LEMD3	ENSG00000174106	GSE130970	linear	-41.8241640530292	0.11161430997936	-0.00649286274526367	0.000803309377795578	NA	4
LEMD3	ENSG00000174106	GSE135251	power_law	-30.0938873091602	0.348885289485152	-3.53163025748358e-08	9.03809634798625	NA	4
LEMD3	ENSG00000174106	GSE162694	power_law	-30.7366239549994	0.28218646567842	9.47353918266675e-08	8.00826028276636	NA	4
LMNA	ENSG00000160789	GSE130970	power_law	-29.6671191318398	0.315545710711293	2.23922299385059e-09	11.5743625679566	NA	4
LMNA	ENSG00000160789	GSE135251	linear	-37.0947427964695	0.784222747069983	-0.0116999769258322	0.0078034339145085	NA	4
LMNA	ENSG00000160789	GSE162694	linear	-24.7187237278592	0.855415954818109	-0.104026572558812	0.0467683399909678	NA	4
LMNB1	ENSG00000113368	GSE130970	power_law	-26.0209730555588	0.519701440272875	3.84870177392815e-09	11.6441953511199	NA	4
LMNB1	ENSG00000113368	GSE135251	linear	-27.4867452493975	0.324843150569455	0.0260877685852223	-0.00943606506147271	NA	4
LMNB1	ENSG00000113368	GSE162694	linear	-27.5538534714036	0.00671939105108741	0.0212119624243524	-0.00110953829719821	NA	4
LMNB2	ENSG00000176619	GSE130970	power_law	-33.5509135719724	0.904347065650129	2.82445801617829e-06	7.15270836528551	NA	4
LMNB2	ENSG00000176619	GSE135251	power_law	-32.532041572185	0.204210228902857	0.00531867688579425	0.689615095782998	NA	4
LMNB2	ENSG00000176619	GSE162694	linear	-26.5793495142629	0.75059770086308	-0.061720163387698	0.0264343975593525	NA	4
LOX	ENSG00000113083	GSE130970	power_law	-24.2179370827726	0.919386139956488	0.00368700761834986	2.9647543660749	NA	4
LOX	ENSG00000113083	GSE135251	power_law	-24.7282159548405	0.978769223063794	0.0152025467548764	2.376842228139	NA	4
LOX	ENSG00000113083	GSE162694	sigmoid	-39.1803707515169	0.997343816084649	0.128222059784561	2.8029495575551	2.51892155012262	4
LRP8	ENSG00000157193	GSE130970	linear	-31.7212284520078	0.0698990753558669	-0.00521045051452682	0.0021965975755864	NA	4
LRP8	ENSG00000157193	GSE135251	sigmoid	-33.5592551219097	0.996718630470999	0.300827992681046	1.71460341460566	2.12429633289108	4
LRP8	ENSG00000157193	GSE162694	sigmoid	-28.2689184442979	0.712524052039375	0.0471234742327113	-9.137131886228	2.91832896846855	4
MKL1	ENSG00000196588	GSE130970	sigmoid	-56.1605065375831	0.99907629092993	0.0834058433816548	0.551160862651544	3.89247726906828	4
MKL1	ENSG00000196588	GSE135251	linear	-27.1707543166904	0.210019619342332	-0.0111895294030774	0.00729679809174463	NA	4
