Ensembl_ID	Gene_symbol	baseMean	padj_lrt	sig_lrt	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000241106	HLA-DOB	15.007000631715805	0.0018200643320447761	TRUE	1	up	4	F4_vs_F0	2	up	F3_vs_F1,F4_vs_F1	baseline_and_strata
ENSG00000165566	AMER2	11.821767646854049	0.001857071717562403	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000144278	GALNT13	4.675137737151852	0.0018982553133795063	TRUE	1	down	2	F2_vs_F0	1	up	F4_vs_F2	baseline_and_strata
ENSG00000139209	SLC38A4	19370.763206822656	0.0019595735058332777	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000170370	EMX2	9.438181053085314	0.002001182161048749	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F3	baseline_and_strata
ENSG00000212659	KRTAP9-6	4.368355847970107	0.002001462973195728	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000077522	ACTN2	11.36934871226341	0.0020157374792309584	TRUE	1	up	3	F3_vs_F0	2	up	F3_vs_F1,F3_vs_F2	baseline_and_strata
ENSG00000163046	ANKRD30BL	10.340168648288198	0.0020349767165453473	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F3	baseline_and_strata
ENSG00000185231	MC2R	16.19733549737763	0.0020735259655123616	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F2	baseline_and_strata
ENSG00000172900	ACTE1P	12.995114810437894	0.002097157396519334	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000139915	MDGA2	10.58250843411058	0.0021022399957371205	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000111700	SLCO1B3	3271.8296601661714	0.0021440034254286704	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000126500	FLRT1	12.324613943592071	0.002181679076873022	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000163705	FANCD2OS	9.167144236279412	0.0021903249608598726	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000226650	KIF4B	1.879295792496245	0.0021990947669610255	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
